,Test,Prediction,Probability
281,0,0,0.08063443777036684
265,0,0,0.01635908215297719
164,1,0,0.07268805924910832
9,1,1,0.9964306173273686
77,0,0,0.1168626121903508
278,0,0,0.028983022626446545
93,1,0,0.48132703850424846
109,0,0,0.15155085068233007
5,1,1,0.9501070304242912
173,0,0,0.11201155636497531
97,0,0,0.3065174878151305
195,1,0,0.0743889813910446
184,1,0,0.15808051313237395
154,0,0,0.3672033655815337
57,0,0,0.39611190692929
60,1,0,0.285166493594493
147,0,0,0.07756555682988396
108,0,0,0.39881445675115623
63,1,0,0.1470765084240036
140,1,0,0.3723186147831242
155,0,0,0.24390791041192494
104,0,0,0.3914725941432595
247,0,0,0.11344858115732158
46,1,0,0.5937309584938197
42,1,0,0.6567603662302475
275,0,0,0.020040933375741834
280,0,0,0.02002262315398629
116,0,0,0.19895435539374487
213,1,0,0.14465238105699998
236,0,0,0.025478084082269276
17,1,0,0.7503425169558312
239,0,0,0.030727758834875458
33,0,0,0.6271084965736428
24,1,1,0.92165788678542
45,1,0,0.5478930646949451
7,1,0,0.4926814981858164
113,1,0,0.28042856603772054
194,1,0,0.10381512933043642
111,0,0,0.3418352958226697
92,0,0,0.12074435824414065
75,1,0,0.5310342997273997
82,1,0,0.7734935265929929
118,0,0,0.22314146581950392
76,0,0,0.4810502589610179
129,0,0,0.24313697121197372
197,0,0,0.13508599226739257
210,0,0,0.26092118940855114
288,0,0,0.030921800804814877
219,0,0,0.0619530014152258
178,0,0,0.029144019104553977
144,1,0,0.5609499958834967
186,1,0,0.054426151356777995
84,1,0,0.5412488717660692
248,0,0,0.01673698657842811
277,0,0,0.024031419334540036
73,0,0,0.35355640306223346
244,0,0,0.03256444818279578
25,1,1,0.8000740299717224
209,0,0,0.10229555923392598
59,1,1,0.8178652889000296
6,1,1,0.89328160254651
183,1,0,0.28338676101875404
185,1,0,0.09291983917512898
146,0,0,0.22320818839928067
30,1,1,0.8799691357174615
22,1,0,0.7257729250487065
254,0,0,0.008127689678805028
56,0,0,0.7603095187779204
237,0,0,0.09489444796569936
285,0,0,0.011858726548256367
126,1,0,0.7211691429913136
228,0,0,0.5748827385653738
283,0,0,0.028938683467485363
255,0,0,0.04011878665283189
158,0,0,0.2816835511199157
225,0,0,0.10529882452372913
78,0,0,0.6222876066996267
66,1,0,0.5872167495439836
296,0,0,0.0028590609696772626
192,0,0,0.04055290511958939
181,1,0,0.21387097562562735
19,1,0,0.7301710131382744
170,0,0,0.13923995929176128
79,0,0,0.33557904051464804
90,0,0,0.3671947450615621
132,0,0,0.2369911490133905
72,1,0,0.7286206959848565
15,1,0,0.728723556153191
10,1,1,0.9573634430153373
157,0,0,0.23924983182694642
224,0,0,0.039216724268712054
68,1,0,0.6846887952239158
222,0,0,0.026964845647237987
37,1,0,0.6933755541615892
16,1,0,0.7634076800843098
119,1,0,0.7455559989909072
268,0,0,0.01426848126349974
269,0,0,0.009588447969520632
67,1,0,0.647261554603367
